OBJECTID,NAME,SHORT_NAME,PARKTYPE,COUNTY,SHOW,GLOBALID,CREATED_DATE,LAST_EDITED_DATE,SHAPE__Area,SHAPE__Length
486,REINSTORM PARK,Rheinstrom Park,City or Village,Hamilton,1,cb90fcc3-7448-4ce7-997d-b8f12db9f5af,,,191602.67578125,1878.7374364972
487,Hauck Botanic Garden,Hauck Botanical Garden,City or Village,Hamilton,1,ff154ed2-c90a-4bda-9f27-0670e5826a77,,2025/10/31 14:11:25+00,61317.1640625,1198.47492483787
488,SURRY SQUARE VICTORY PARK,Victory Memorial Park,City or Village,Hamilton,1,503ca044-f7f8-4778-a704-70ff455bf4f0,,,12395.45703125,477.974708699285
489,CHERRYFIELD PARK,Cherryfield Park,City or Village,Hamilton,1,0e638255-fea9-48e1-8398-32c87372a213,,,12680.41015625,629.364790123901
490,SHORT PARK,Short Park,City or Village,Hamilton,1,43ae187b-5740-475f-bc60-1365d87d0d24,,,110988.23046875,1579.48701168503
491,MARIEMONT CONCOURSE,Jordan Park,City or Village,Hamilton,1,4834d480-dabb-4945-93b8-fe5794e51694,,,18559.8011192232,600.64603777166
492,Governor Looker Park,Othneil Looker Park,City or Village,Hamilton,1,588efb97-b77e-4e7f-a436-ef571114b706,,,250130.945521355,2547.19606056872
493,Bramble Park,Bramble Park,City or Village,Hamilton,1,686679cd-7206-4a7a-971b-403bf527f72d,,,96560.125,1519.76072337033
494,RICHARDSON-TANGEMAN PARK,Tangeman Park,City or Village,Hamilton,1,6560277f-d511-4aa5-b1d7-5dfcd53471aa,,,4666.03515625,279.424394080278
495,Tollgate Park,Tollgate Park,City or Village,Hamilton,1,1d849f3f-337d-4b08-b378-9b6d30629cab,,,1389.512370646,165.039308889328
496,LAUREL RECREATION AREA,Laurel Playground,City or Village,Hamilton,1,8978105a-63fb-40ce-8e4d-f8b0fc84bd62,,,24059.83203125,626.844387362308
497,MILLVALE RECREATION COMPLEX ,Millvale Recreation Center,City or Village,Hamilton,1,aacf475f-b9e1-4e5a-a8a7-47ccc2dcdf59,,2025/04/15 16:25:05+00,15909.8046875,494.064552772887
498,VETERANS PARK,Veterans Park,City or Village,Hamilton,1,fa63f9d8-51e4-4bf6-87de-c2dc76abcce1,,,3933.171875,260.823601799951
499,DANIEL RECREATION AREA,Daniel Recreation Area,City or Village,Hamilton,1,7de31aff-cfe1-46b6-a46d-2b1a191ddb96,,,48167.41015625,1061.11341683605
500,EVANSTON RECREATION AREA,Evanston Recreation Area,City or Village,Hamilton,1,19b9f7f3-11a2-4940-bcdf-ca84fcad1d42,,,44769.43359375,1017.54106749299
501,CREMERINGS RIVERSTAR PARK,Cremerings Riverstar Park,Ball Field,Hamilton,1,9ca06bd8-661b-490f-916e-7f15938ab9d7,,,121557.69140625,1439.97133171557
502,OBSERVATORY PARK,Observatory Park,City or Village,Hamilton,1,d7a6f5dd-087b-4e0e-8b87-c47f4bb39499,,,8954.265625,411.531976582558
503,KEMPER MEADOW PARK,Kemper Meadow Park,City or Village,Hamilton,1,b02dc6de-17b5-4e89-afca-1f2754630e7c,,,155305.4140625,1995.69766496491
504,LANG RECRATION AREA,Lang Recreation Area,City or Village,Hamilton,1,6050909b-6c94-4c88-a15c-c0fa43b65932,,2025/10/31 13:19:17+00,22016.08203125,857.407579398286
505,BIG BURLEY PARK,Greenhills Open Space,City or Village,Hamilton,1,85a826a3-1cab-469e-bbf2-0c913e4f7f8c,,,13215.16796875,840.225164538822
506,DOGWOOD PARK,Mariemont Bell Tower,City or Village,Hamilton,1,17132744-5892-4743-a423-81ef64b1721c,,,601.42578125,98.1243507313278
507,WAYNE RECREATION AREA ,Wayne Recreation Area ,City or Village,Hamilton,1,818db66c-8896-4e3e-a982-2d9bcec95963,,2025/11/04 18:39:44+00,83504.9504715204,1537.50379908123
508,STEVEN BOIKE PARK,Boike Park,City or Village,Hamilton,1,8302ba43-7aec-4feb-8cf8-9efcaad9f306,,,62968.3125,1471.00525395522
509,Village of Glendale Park,Village of Glendale Park,City or Village,Hamilton,1,5e088b21-85e1-4421-9376-f44b689dcbd9,,,859.95703125,131.468543599644
510,NASSAU AND ST. JAMES RECREATION AREA ,Nassau and St. James Recreation Area,City or Village,Hamilton,1,e4613afa-dc6d-41dc-82b6-06542061fdd8,,,6764.0625,342.726995629065
511,CLIFTON RECREATION CENTER,Clifton Recreation Center,City or Village,Hamilton,1,968757a2-4048-49c5-ad51-051976ce5227,,,13606.515625,609.491954843459
512,FINDLAY PLAYGROUND,Findlay Playground (New),City or Village,Hamilton,1,2a58b7a0-7271-4bf5-a600-56530f241345,,,9961.48828125,422.387242337638
513,Chase/Fergus Playground,Chase and Fergus Recreation Area,City or Village,Hamilton,1,d4232d6a-a9e5-4b42-9d5f-85194219290a,,,2021.9921875,181.288988601077
514,Larz Anderson Park,Larz Anderson Park,City or Village,Hamilton,1,6aff5884-5c6f-4452-91aa-4434d8c46382,,,60519.89453125,2831.04850993831
515,SHARONVILLE COMMUNITY CENTER,Sharonville Community Center,City or Village,Hamilton,1,e8cbd9e1-cbfc-4f54-bd0a-71427e8fda29,,,7678.8515625,354.391961258915
516,AVON FIELDS GOLF COURSE,Avon Fields Golf Course,City or Village,Hamilton,1,e875a815-685f-4499-978c-59494ca99ee0,,2025/04/15 17:13:44+00,605878.01171875,4633.08205802139
517,GLENWAY PARK,Glenway Park,City or Village,Hamilton,1,a2961542-8bdc-4c19-8ba1-8512ad4edfb5,,,21561.39453125,612.413053184021
518,Avon Woods Nature Center and Preserve,Avon Woods Nature Center and Preserve,City or Village,Hamilton,1,ecb8011b-80b7-4890-854b-5081c739141b,,,131067.89453125,2704.66033239943
519,Stella Park,Stella Park,City or Village,Hamilton,1,4147d83e-b6c8-409b-aa5c-12db23214944,,,10033.828125,419.999280693124
520,North Park,North Park,City or Village,Hamilton,1,2c754495-8697-4f98-ab30-75fd2303c91e,,,72336.59765625,2068.58886821649
521,FILSON RECREATION AREA ,Filson Recreation Area ,City or Village,Hamilton,1,ee2f93ae-312d-41b3-8e4e-dbc089974304,,,12763.4140625,454.097963367805
522,Lower Price Hill Recreation Area,Lower Price Hill Recreation Area,City or Village,Hamilton,1,1fdf0a86-702d-468f-8a5b-e134a3f332e8,,,2535.1875,203.445089204337
523,Hopkins Park,Hopkins Park,City or Village,Hamilton,1,85e809b7-d0f6-4cb8-ae2f-ba26c1481a25,,2025/10/31 13:21:25+00,6771.95703125,340.868748113078
524,Republic Senior Haven Playground,OTRCH Playground,City or Village,Hamilton,1,b8d96635-77c1-4f63-bb06-217b6673731a,,2025/06/23 14:27:28+00,462.6796875,90.2461987715854
525,Hunt Park,Hunt Park,City or Village,Hamilton,1,5a2ffd36-a98e-42d5-92b8-780171b0cf06,,,11141.203125,428.714490822634
526,Burnet Recreation Area,Burnet Recreation Area,City or Village,Hamilton,1,8e46fbf3-454a-4024-b3c0-9d53d8bb560d,,,4182.7421875,262.481781745393
527,Baker Bowl Park,Baker Bowl Park,City or Village,Hamilton,1,6fd36ded-aad9-4335-9d36-2505378abf4a,,,2936.95703125,217.50939995375
528,Miami Whitewater Forest,Miami Whitewater Forest,Park District,Hamilton,1,03ccefc4-006f-48f5-9001-aabf9f85411d,,2025/04/07 17:39:17+00,33630506.578125,95833.268132811
529,Glenwood Gardens,Glenwood Gardens,Park District,Hamilton,1,bb10057b-cc0b-4191-b780-dd5bdb4635e9,,,2102248.703125,7464.94323725712
530,Mitchell Memorial Forest,Mitchell Memorial Forest,Park District,Hamilton,1,4b85b2eb-c14e-498d-a7cc-a9137bddcfe4,,,10380888.8242188,56270.8830168274
531,Henrianne Tot Lot,Henrianne Recreation Area,City or Village,Hamilton,1,aad5d104-a77e-48c8-a4b6-cc70214b6bc4,,,964.5859375,135.817316776674
532,Gaines Triangle,Gaines Triangle,City or Village,Hamilton,1,c275bc7b-a58c-4112-8ddc-d40aaf7bc711,,2025/04/08 17:50:43+00,433.798267766833,97.1621762901695
533,Chestnut Ridge Median,Chestnut Ridge Median,City or Village,Hamilton,1,1195c9d3-43bd-46ae-9c01-0246d18e946f,,,6116.30078125,1743.48997566143
534,Kirby Nature Preserve,Kirby Nature Preserve,Conservancy District,Hamilton,1,33536a2b-2797-42f9-9da0-8f0a72c3cad9,,,166810.09765625,2807.0268576432
